ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.00956146	0.0977827183095254	0.0977827	-2.01948	7
1	2	6	2	0.00955308	0.0977398588089834	0.0977399	-2.01986	85
2	1	4	1	0.00955274	0.0977381194826256	0.0977381	-2.01987	5
3	1	2	1	0.00954978	0.0977229758040554	0.097723	-2.02001	6
4	1	4	1	0.00954864	0.097717142815373	0.0977171	-2.02006	37
5	1	4	1	0.0095477	0.0977123328961089	0.0977123	-2.0201	41
6	2	6	2	0.00954674	0.0977074203937449	0.0977074	-2.02014	71
7	3	6	2	0.0095461	0.0977041452549481	0.0977041	-2.02017	104
8	4	4	2	0.0095456	0.097701586476372	0.0977016	-2.0202	30
9	1	6	1	0.00954552	0.0977011770655809	0.0977012	-2.0202	14
10	4	6	2	0.00954394	0.0976930908508887	0.0976931	-2.02027	13
11	1	2	1	0.0095436	0.0976913506918601	0.0976914	-2.02029	3
12	5	6	2	0.00954214	0.0976838778919019	0.0976839	-2.02035	45
13	1	2	1	0.00954194	0.0976828541761552	0.0976829	-2.02036	2
14	1	4	1	0.00954146	0.0976803972145896	0.0976804	-2.02039	76
15	1	6	1	0.0095406	0.0976759950038903	0.097676	-2.02042	51
16	4	4	2	0.00954056	0.0976757902450756	0.0976758	-2.02043	39
17	6	6	2	0.00953906	0.0976681114796431	0.0976681	-2.02049	36
18	2	4	2	0.00953892	0.0976673947640665	0.0976674	-2.0205	29
19	3	6	2	0.00953864	0.0976659613171344	0.097666	-2.02051	84
20	2	6	2	0.00953794	0.0976623776077564	0.0976624	-2.02055	8
21	3	6	2	0.00953776	0.0976614560612323	0.0976615	-2.02055	60
22	1	4	1	0.00953662	0.097655619397964	0.0976556	-2.02061	33
23	6	6	2	0.00953642	0.0976545953859827	0.0976546	-2.02061	40
24	3	6	2	0.00953636	0.0976542881802945	0.0976543	-2.02062	105
25	2	6	2	0.00953624	0.0976536737660186	0.0976537	-2.02062	87
26	7	6	2	0.0095362	0.097653468960401	0.0976535	-2.02062	83
27	6	6	2	0.0095359	0.097651932904577	0.0976519	-2.02064	64
28	2	6	2	0.00953562	0.0976504992306747	0.0976505	-2.02065	78
29	2	6	2	0.00953506	0.0976476318197221	0.0976476	-2.02068	88
30	3	6	2	0.009534	0.0976422039898732	0.0976422	-2.02072	94
31	1	6	1	0.00953358	0.0976400532568474	0.0976401	-2.02074	101
32	2	6	3	0.00953202	0.0976320644050918	0.0976321	-2.02082	91
33	2	6	2	0.0095319	0.0976314498509573	0.0976314	-2.02082	50
34	2	6	2	0.0095315	0.0976294013092368	0.0976294	-2.02084	75
35	2	6	2	0.00953032	0.0976233578607087	0.0976234	-2.02089	59
