ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.198998	0.446091918779079	0.446092	-0.701151	5
1	2	2	1	0.198952	0.446040356918519	0.44604	-0.701252	1
2	3	2	1	0.198895	0.445976456777709	0.445976	-0.701376	4
3	4	4	2	0.198811	0.445882271457388	0.445882	-0.70156	14
4	5	4	2	0.198549	0.445588375072779	0.445588	-0.702132	9
5	6	4	1	0.00058348	0.0241553306746151	0.0241553	-3.23397	8
6	7	2	1	0.00058276	0.0241404225315134	0.0241404	-3.23451	3
7	8	4	1	0.00058246	0.0241342080872773	0.0241342	-3.23473	13
8	-1	4	1	0.00058176	0.0241197014906901	0.0241197	-3.23526	12
9	-1	4	2	0.0005801	0.0240852652051	0.0240853	-3.2365	10
10	-1	2	1	0.00057884	0.0240590939147758	0.0240591	-3.23744	2
11	-1	4	2	0.00057776	0.0240366387001178	0.0240366	-3.23825	15
12	-1	4	1	0.0005767	0.0240145789053233	0.0240146	-3.23905	7
13	-1	4	1	0.00057574	0.0239945827219396	0.0239946	-3.23977	6
14	-1	4	1	0.00057542	0.0239879136233229	0.0239879	-3.24002	11
