ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.0382341	0.195535418786469	0.195535	-1.41755	862

1	1	2	1	0.03817	0.195371441106422	0.195371	-1.41828	799

2	1	4	1	0.0381696	0.195370417412668	0.19537	-1.41828	421

3	1	2	1	0.0381616	0.195349942411049	0.19535	-1.41837	547

4	2	8	3	0.0381516	0.195324345640783	0.195324	-1.41849	361

5	2	8	3	0.0381509	0.195322553741241	0.195323	-1.4185	365

6	2	6	3	0.0381143	0.195228840082607	0.195229	-1.41891	352

7	3	4	2	0.0381061	0.195207837957393	0.195208	-1.41901	545

8	1	4	1	0.0380984	0.195188114392245	0.195188	-1.41909	484

9	2	8	3	0.0380952	0.195179916999675	0.19518	-1.41913	316

10	4	4	2	0.0380866	0.195157884800999	0.195158	-1.41923	106

11	5	6	2	0.0380838	0.19515071099025	0.195151	-1.41926	609

12	3	4	2	0.0380813	0.19514430557923	0.195144	-1.41929	230

13	6	8	3	0.0380801	0.195141230907259	0.195141	-1.4193	682

14	7	8	4	0.0380744	0.195126625553767	0.195127	-1.41937	7

15	1	4	1	0.0380631	0.195097667848696	0.195098	-1.4195	736

16	7	6	3	0.0380575	0.195083315534671	0.195083	-1.41956	41

17	5	6	3	0.0380548	0.195076395291691	0.195076	-1.41959	357

18	1	2	1	0.0380385	0.195034612312789	0.195035	-1.41978	861

19	3	6	2	0.0380299	0.195012563697829	0.195013	-1.41987	482

20	7	8	3	0.0380285	0.195008974152473	0.195009	-1.41989	8

21	3	4	2	0.0380277	0.195006922954033	0.195007	-1.4199	797

22	5	6	2	0.0380244	0.194998461532393	0.194998	-1.41994	735

23	3	6	2	0.0380173	0.194980255410644	0.19498	-1.42002	419

24	8	4	2	0.0380128	0.19496871543917	0.194969	-1.42007	798

25	6	6	2	0.0380091	0.194959226506467	0.194959	-1.42011	667

26	2	8	4	0.0379996	0.194934860915127	0.194935	-1.42022	322

27	1	4	1	0.0379994	0.194934347922576	0.194934	-1.42022	169

28	7	8	3	0.0379898	0.194909722692327	0.19491	-1.42033	5

29	8	4	2	0.0379823	0.194890482066211	0.19489	-1.42042	924

30	2	8	4	0.0379741	0.194869443474343	0.194869	-1.42051	367

31	6	8	2	0.0379714	0.194862515636025	0.194863	-1.42054	631

32	-1	6	2	0.0379709	0.194861232675974	0.194861	-1.42055	167

33	3	6	3	0.03797	0.194858923326595	0.194859	-1.42056	104

34	8	6	2	0.0379669	0.194850968691459	0.194851	-1.42059	168

35	2	8	3	0.0379572	0.194826076283438	0.194826	-1.42071	366

36	1	4	1	0.0379568	0.194825049724105	0.194825	-1.42071	673

37	6	8	2	0.0379495	0.194806314066049	0.194806	-1.42079	636

38	1	2	1	0.0379482	0.194802977389977	0.194803	-1.42081	860

39	4	6	3	0.037945	0.194794763789995	0.194795	-1.42085	105

40	1	2	1	0.0379384	0.194777822146157	0.194778	-1.42092	232

41	3	6	2	0.0379374	0.194775255101874	0.194775	-1.42093	608

42	-1	8	2	0.0379343	0.194767297049582	0.194767	-1.42097	635

43	-1	8	3	0.0379302	0.194756771384206	0.194757	-1.42101	51

44	2	8	3	0.0379264	0.194747015381494	0.194747	-1.42106	321

45	2	8	3	0.0379254	0.194744447931128	0.194744	-1.42107	46

