ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.106122	0.325763718053438	0.325764	-0.974195	0
1	2	4	2	0.10608	0.325699247773157	0.325699	-0.974366	13
2	3	2	1	0.106071	0.325685431052726	0.325685	-0.974403	4
3	4	4	2	0.10602	0.325607125229163	0.325607	-0.974612	8
4	5	2	1	0.105976	0.325539552128463	0.32554	-0.974792	3
5	6	4	1	0.0470047	0.216805673357502	0.216806	-1.32786	1
6	7	4	1	0.0469966	0.2167869922297	0.216787	-1.32793	14
7	8	2	1	0.046992	0.216776382477428	0.216776	-1.32798	5
8	-1	4	2	0.0469788	0.216745934217923	0.216746	-1.3281	6
9	-1	4	2	0.0469761	0.216739705637892	0.21674	-1.32812	12
10	-1	4	1	0.0469684	0.216721941667197	0.216722	-1.32819	9
11	-1	4	1	0.046965	0.216714097372552	0.216714	-1.32823	7
12	-1	2	1	0.0469609	0.216704637698412	0.216705	-1.32826	10
13	-1	4	1	0.046952	0.216684101862596	0.216684	-1.32835	2
14	-1	4	1	0.0469361	0.21664740940062	0.216647	-1.32849	11
