ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.0112272	0.105958482435339	0.105958	-1.94973	680
1	2	6	3	0.0112263	0.105954235403782	0.105954	-1.94976	419
2	1	4	1	0.0112207	0.105927805603628	0.105928	-1.94998	638
3	3	8	2	0.011194	0.105801701309573	0.105802	-1.95101	609
4	2	6	2	0.011185	0.105759160359753	0.105759	-1.95136	230
5	2	8	3	0.0111841	0.105754905323583	0.105755	-1.9514	420
6	2	4	2	0.0111768	0.105720385924381	0.10572	-1.95168	734
7	2	8	3	0.0111763	0.105718021169524	0.105718	-1.9517	421
8	4	6	2	0.0111743	0.105708561621091	0.105709	-1.95178	43
9	1	2	1	0.0111715	0.105695316830974	0.105695	-1.95189	50
10	2	6	2	0.0111706	0.105691059224515	0.105691	-1.95192	608
11	2	6	3	0.0111673	0.105675446533242	0.105675	-1.95205	545
12	4	6	3	0.0111608	0.105644687514328	0.105645	-1.9523	44
13	4	4	2	0.0111606	0.105643740940957	0.105644	-1.95231	46
14	2	6	2	0.0111588	0.105635221398925	0.105635	-1.95238	482
15	3	6	2	0.0111542	0.105613446113646	0.105613	-1.95256	735
16	2	6	2	0.0111537	0.105611078964283	0.105611	-1.95258	860
17	3	8	2	0.0111536	0.105610605528043	0.105611	-1.95258	483
18	5	8	2	0.0111527	0.105606344506379	0.105606	-1.95262	862
19	4	6	3	0.0111497	0.105592139858988	0.105592	-1.95274	6
20	1	4	1	0.0111479	0.105583616153265	0.105584	-1.95281	681
21	2	6	2	0.0111478	0.105583142593882	0.105583	-1.95281	293
22	1	4	1	0.0111478	0.105583142593882	0.105583	-1.95281	673
23	4	4	2	0.0111458	0.10557367096014	0.105574	-1.95289	41
24	4	4	2	0.0111453	0.105571302918928	0.105571	-1.95291	5
25	4	6	2	0.0111446	0.105567987571991	0.105568	-1.95294	51
26	6	6	2	0.0111432	0.105561356565743	0.105561	-1.95299	797
27	1	4	1	0.0111421	0.105556146197178	0.105556	-1.95303	637
28	3	8	2	0.0111414	0.105552830374178	0.105553	-1.95306	610
29	4	8	3	0.01114	0.10554619841567	0.105546	-1.95311	169
30	1	2	1	0.0111393	0.105542882280142	0.105543	-1.95314	635
31	5	8	3	0.0111378	0.105535775924565	0.105536	-1.9532	547
32	7	4	2	0.0111377	0.105535302150513	0.105535	-1.9532	636
