ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.00628474	0.0792763520855999	0.0792764	-2.20171	674
1	2	8	3	0.00628286	0.0792644939427484	0.0792645	-2.20184	545
2	3	6	2	0.00627294	0.0792018939167492	0.0792019	-2.20253	316
3	4	6	3	0.00627112	0.079190403459005	0.0791904	-2.20265	106
4	3	6	2	0.00626508	0.0791522583379653	0.0791523	-2.20307	1
5	2	8	2	0.0062642	0.0791466992362916	0.0791467	-2.20313	608
6	2	6	3	0.00626346	0.0791420242349158	0.079142	-2.20319	547
7	2	6	2	0.00625824	0.0791090386744776	0.079109	-2.20355	923
8	4	4	2	0.00625738	0.079103602952078	0.0791036	-2.20361	736
9	4	4	2	0.00625638	0.0790972818749165	0.0790973	-2.20368	43
10	5	8	2	0.00625442	0.0790848910981105	0.0790849	-2.20381	798
11	5	8	2	0.00625396	0.0790819827773685	0.079082	-2.20384	231
12	4	6	2	0.00625386	0.0790813505195757	0.0790814	-2.20385	232
13	1	4	1	0.0062527	0.0790740159597323	0.079074	-2.20393	631
14	1	4	1	0.00625174	0.0790679454646445	0.0790679	-2.204	671
15	4	6	2	0.0062513	0.0790651629986304	0.0790652	-2.20403	295
16	2	6	2	0.0062493	0.079052514191517	0.0790525	-2.20417	356
17	2	8	2	0.00624806	0.0790446709146164	0.0790447	-2.20425	797
18	6	4	2	0.00624762	0.0790418876292817	0.0790419	-2.20429	37
19	4	6	3	0.00624734	0.0790401163966754	0.0790401	-2.2043	169
20	1	2	1	0.00624646	0.0790345494072054	0.0790345	-2.20437	667
21	4	6	3	0.00624572	0.0790298677716216	0.0790299	-2.20442	421
22	5	8	2	0.00624526	0.0790269574259316	0.079027	-2.20445	861
23	2	6	2	0.0062448	0.0790240469730575	0.079024	-2.20448	734
24	3	4	2	0.00624444	0.0790217691525569	0.0790218	-2.20451	352
25	1	2	1	0.0062441	0.0790196178173496	0.0790196	-2.20453	638
26	5	6	2	0.00624292	0.0790121509642663	0.0790122	-2.20461	735
