ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size	uniq_id
0	1	0	0	0.00724794	0.0851348342337025	0.0851348	-2.13979	352
1	2	6	3	0.00724518	0.0851186231091645	0.0851186	-2.13995	638
2	3	6	2	0.00724352	0.0851088714529807	0.0851089	-2.14005	482
3	4	4	2	0.00724346	0.0851085189625574	0.0851085	-2.14005	43
4	3	8	2	0.00724282	0.085104758973867	0.0851048	-2.14009	419
5	1	4	1	0.0072338	0.0850517489532108	0.0850517	-2.14063	321
6	5	8	2	0.00723324	0.0850484567761226	0.0850485	-2.14067	230
7	4	6	3	0.00723108	0.0850357571848455	0.0850358	-2.1408	106
8	2	6	2	0.00723072	0.0850336404019021	0.0850336	-2.14082	680
9	6	6	3	0.00723046	0.085032111581449	0.0850321	-2.14083	862
10	1	4	1	0.00722934	0.0850255255790871	0.0850255	-2.1409	322
11	7	8	3	0.00722798	0.0850175276046063	0.0850175	-2.14098	105
12	4	6	3	0.0072271	0.0850123520436883	0.0850124	-2.14104	169
13	3	8	3	0.0072257	0.0850041175473283	0.0850041	-2.14112	797
14	2	6	2	0.00722086	0.0849756435692016	0.0849756	-2.14141	637
15	4	6	2	0.00722074	0.0849749374815892	0.0849749	-2.14142	42
16	8	8	2	0.00721874	0.0849631684908231	0.0849632	-2.14154	924
17	1	2	1	0.00721626	0.0849485726778267	0.0849486	-2.14169	37
18	3	8	3	0.00721552	0.0849442169897398	0.0849442	-2.14173	167
19	-1	6	2	0.00721484	0.0849402142686254	0.0849402	-2.14177	7
20	4	6	2	0.00721468	0.0849392724244798	0.0849393	-2.14178	232
21	7	8	3	0.00721142	0.0849200800753273	0.0849201	-2.14198	798
22	6	6	2	0.00721014	0.0849125432430333	0.0849125	-2.14206	421
23	4	4	2	0.007209	0.0849058301885094	0.0849058	-2.14212	44
24	6	6	3	0.0072088	0.0849046524049183	0.0849047	-2.14214	799
25	1	4	1	0.0072083	0.0849017078744592	0.0849017	-2.14217	356
26	1	2	1	0.0072081	0.0849005300336812	0.0849005	-2.14218	361
27	6	6	2	0.00720658	0.0848915779097079	0.0848916	-2.14227	547
28	6	8	3	0.0072062	0.0848893397312054	0.0848893	-2.14229	861
29	3	8	3	0.00720558	0.0848856878395881	0.0848857	-2.14233	104
30	4	6	2	0.00720526	0.0848838029308301	0.0848838	-2.14235	736
31	8	6	2	0.00720232	0.0848664833724127	0.0848665	-2.14253	672
32	4	6	2	0.0072009	0.0848581168775268	0.0848581	-2.14261	6
33	3	6	2	0.00719916	0.0848478638505413	0.0848479	-2.14272	608
34	4	4	2	0.0071989	0.0848463316826367	0.0848463	-2.14273	673
35	2	4	2	0.00719824	0.0848424422090736	0.0848424	-2.14277	631
36	3	6	2	0.0071979	0.0848404384712856	0.0848404	-2.14279	41
37	3	8	2	0.00719712	0.0848358414822415	0.0848358	-2.14284	923
38	2	6	2	0.00719602	0.0848293581255923	0.0848294	-2.14291	671
39	-1	4	2	0.0071954	0.0848257036516644	0.0848257	-2.14295	676
40	-1	8	2	0.00719534	0.0848253499845418	0.0848253	-2.14295	734
41	-1	4	2	0.00719474	0.0848218132322105	0.0848218	-2.14298	320
42	3	8	3	0.0071945	0.0848203984899859	0.0848204	-2.143	860
43	1	2	1	0.00719228	0.0848073110055967	0.0848073	-2.14313	359
44	7	8	3	0.00719216	0.0848066035164715	0.0848066	-2.14314	168
45	7	8	2	0.00719164	0.0848035376620575	0.0848035	-2.14317	294
46	7	8	2	0.0071913	0.0848015330050112	0.0848015	-2.14319	735
47	2	6	3	0.00718798	0.0847819556273621	0.084782	-2.14339	683
48	4	4	2	0.00718518	0.084765441071229	0.0847654	-2.14356	1
49	2	4	2	0.00718432	0.0847603680973602	0.0847604	-2.14361	323
50	3	4	2	0.00718302	0.084752699072065	0.0847527	-2.14369	484
51	4	6	2	0.00718266	0.0847505752192869	0.0847506	-2.14371	925
52	1	2	1	0.00718214	0.0847475073379743	0.0847475	-2.14375	316
53	3	6	2	0.00718096	0.0847405451953196	0.0847405	-2.14382	483
54	4	6	3	0.00717884	0.0847280355018337	0.084728	-2.14395	5
55	4	4	2	0.0071782	0.0847242586276209	0.0847243	-2.14398	610
56	3	8	2	0.00717776	0.0847216619289305	0.0847217	-2.14401	293
57	-1	4	2	0.0071754	0.0847077328229247	0.0847077	-2.14415	368
58	1	2	1	0.0071747	0.0847036008679678	0.0847036	-2.1442	667
59	5	8	2	0.00717256	0.0846909676411836	0.084691	-2.14433	231
60	7	8	2	0.00717174	0.0846861263726238	0.0846861	-2.14438	420
61	3	8	2	0.00716914	0.0846707741785795	0.0846708	-2.14453	545
62	-1	6	3	0.00716714	0.0846589629041131	0.084659	-2.14465	53
63	2	6	2	0.0071669	0.084657545440439	0.0846575	-2.14467	682
64	2	4	2	0.00716438	0.084642660638711	0.0846427	-2.14482	674
65	7	8	2	0.00716364	0.084638289207663	0.0846383	-2.14487	546
66	4	6	2	0.00716362	0.0846381710577444	0.0846382	-2.14487	295
67	1	4	1	0.00716296	0.0846342720179006	0.0846343	-2.14491	357
