ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
78	-1	8	3	0.0053238	0.0729643748688358	0.0729644	-2.27378
79	-1	6	2	0.0053238	0.0729643748688358	0.0729644	-2.27378
80	-1	6	2	0.0053236	0.0729630043241093	0.072963	-2.27379
81	7	8	2	0.0053236	0.0729630043241093	0.072963	-2.27379
82	-1	8	3	0.0053235	0.0729623190420919	0.0729623	-2.2738
83	-1	8	3	0.0053235	0.0729623190420919	0.0729623	-2.2738
84	-1	8	3	0.0053233	0.0729609484587474	0.0729609	-2.27382
85	-1	6	2	0.0053228	0.0729575218877396	0.0729575	-2.27386
86	-1	8	2	0.0053227	0.0729568365542257	0.0729568	-2.27387
87	1	4	1	0.0053225	0.0729554658678841	0.0729555	-2.27388
88	8	8	2	0.0053224	0.072954780515056	0.0729548	-2.27389
89	1	4	1	0.0053222	0.0729534097900845	0.0729534	-2.27391
90	2	8	3	0.0053222	0.0729534097900845	0.0729534	-2.27391
91	2	8	3	0.0053219	0.072951353654336	0.0729514	-2.27393
92	-1	8	3	0.0053219	0.072951353654336	0.0729514	-2.27393
93	-1	8	2	0.0053217	0.072949982864974	0.07295	-2.27395
94	-1	8	3	0.0053217	0.072949982864974	0.07295	-2.27395
95	-1	8	3	0.0053213	0.0729472412089724	0.0729472	-2.27398
96	-1	8	3	0.0053212	0.0729465557788714	0.0729466	-2.27399
97	-1	8	3	0.0053205	0.072941757587818	0.0729418	-2.27405
98	5	8	3	0.0053204	0.0729410721061872	0.0729411	-2.27406
99	2	8	3	0.0053204	0.0729410721061872	0.0729411	-2.27406
100	-1	6	2	0.0053201	0.0729390156226419	0.072939	-2.27408
101	7	8	3	0.0053198	0.0729369590811133	0.072937	-2.2741
102	5	6	2	0.0053197	0.0729362735543845	0.0729363	-2.27411
103	2	6	2	0.0053196	0.0729355880212122	0.0729356	-2.27412
104	-1	8	2	0.0053195	0.0729349024815966	0.0729349	-2.27413
105	-1	8	2	0.0053194	0.0729342169355372	0.0729342	-2.27414
106	2	8	3	0.0053194	0.0729342169355372	0.0729342	-2.27414
107	5	8	3	0.0053192	0.0729328458240867	0.0729328	-2.27415
108	-1	8	3	0.0053191	0.0729321602586952	0.0729322	-2.27416
109	-1	8	3	0.0053191	0.0729321602586952	0.0729322	-2.27416
110	-1	6	3	0.0053188	0.0729301035238536	0.0729301	-2.27419
111	-1	6	2	0.0053187	0.0729294179326834	0.0729294	-2.27419
112	-1	8	2	0.0053186	0.0729287323350681	0.0729287	-2.2742
113	5	6	2	0.0053185	0.0729280467310074	0.072928	-2.27421
114	3	8	2	0.0053185	0.0729280467310074	0.072928	-2.27421
115	-1	8	2	0.0053184	0.0729273611205013	0.0729274	-2.27422
116	-1	8	3	0.0053182	0.0729259898801518	0.072926	-2.27424
117	7	6	2	0.0053181	0.0729253042503081	0.0729253	-2.27424
118	5	8	2	0.0053178	0.0729232473220989	0.0729232	-2.27427
