ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
463	-1	8	2	0.0003263	0.0180637759064931	0.0180638	-3.48638
464	-1	6	2	0.0003261	0.0180582391168131	0.0180582	-3.48665
465	2	8	3	0.0003259	0.0180527006289918	0.0180527	-3.48692
466	-1	8	3	0.0003259	0.0180527006289918	0.0180527	-3.48692
467	4	4	2	0.0003258	0.0180499307477896	0.0180499	-3.48705
468	-1	8	3	0.0003258	0.0180499307477896	0.0180499	-3.48705
469	4	6	2	0.0003258	0.0180499307477896	0.0180499	-3.48705
470	7	8	3	0.0003255	0.0180416185526687	0.0180416	-3.48745
471	4	8	2	0.0003254	0.0180388469698038	0.0180388	-3.48758
472	-1	8	2	0.0003253	0.018036074961033	0.0180361	-3.48772
473	1	6	1	0.000325	0.0180277563773199	0.0180278	-3.48812
474	3	8	2	0.000325	0.0180277563773199	0.0180278	-3.48812
475	-1	8	2	0.0003249	0.0180249826629598	0.018025	-3.48825
476	2	8	2	0.0003249	0.0180249826629598	0.018025	-3.48825
477	-1	8	2	0.0003248	0.0180222085217101	0.0180222	-3.48838
478	5	6	2	0.0003248	0.0180222085217101	0.0180222	-3.48838
479	6	8	3	0.0003247	0.0180194339533738	0.0180194	-3.48852
480	-1	8	2	0.0003247	0.0180194339533738	0.0180194	-3.48852
481	2	8	2	0.0003246	0.0180166589577535	0.0180167	-3.48865
482	2	6	2	0.0003244	0.0180111076838711	0.0180111	-3.48892
483	2	8	3	0.0003242	0.0180055546984812	0.0180056	-3.48919
484	2	8	2	0.0003241	0.0180027775634761	0.0180028	-3.48932
485	5	6	2	0.000324	0.018	0.018	-3.48945
486	5	6	3	0.0003238	0.0179944435868409	0.0179944	-3.48972
487	-1	8	3	0.0003236	0.0179888854574151	0.0179889	-3.48999
488	2	8	3	0.0003235	0.0179861057486049	0.0179861	-3.49013
489	4	6	2	0.0003235	0.0179861057486049	0.0179861	-3.49013
490	5	6	2	0.000323	0.0179722007556114	0.0179722	-3.4908
491	4	6	2	0.0003226	0.0179610690105016	0.0179611	-3.49134
492	-1	8	2	0.0003225	0.017958284996068	0.0179583	-3.49147
493	3	8	3	0.0003225	0.017958284996068	0.0179583	-3.49147
494	-1	8	3	0.0003225	0.017958284996068	0.0179583	-3.49147
495	1	4	1	0.0003224	0.0179555005499708	0.0179555	-3.4916
496	7	6	2	0.0003224	0.0179555005499708	0.0179555	-3.4916
497	2	8	2	0.000322	0.0179443584449264	0.0179444	-3.49214
498	7	8	3	0.0003217	0.0179359973238178	0.017936	-3.49255
499	5	6	2	0.0003214	0.0179276323032351	0.0179276	-3.49295
500	-1	8	3	0.0003214	0.0179276323032351	0.0179276	-3.49295
501	7	8	3	0.0003213	0.0179248430955476	0.0179248	-3.49309
502	1	6	1	0.0003213	0.0179248430955476	0.0179248	-3.49309
503	5	6	2	0.0003211	0.0179192633777173	0.0179193	-3.49336
504	5	6	2	0.0003209	0.0179136819219277	0.0179137	-3.49363
505	-1	8	3	0.0003209	0.0179136819219277	0.0179137	-3.49363
506	-1	8	3	0.0003208	0.0179108905417905	0.0179109	-3.49377
507	8	8	3	0.0003208	0.0179108905417905	0.0179109	-3.49377
508	2	8	3	0.0003207	0.0179080987265539	0.0179081	-3.4939
509	7	6	3	0.0003205	0.0179025137899682	0.0179025	-3.49417
510	-1	6	2	0.0003205	0.0179025137899682	0.0179025	-3.49417
511	-1	8	3	0.0003204	0.0178997206682116	0.0178997	-3.49431
512	-1	6	2	0.0003203	0.0178969271105405	0.0178969	-3.49444
513	2	8	3	0.0003202	0.0178941331167509	0.0178941	-3.49458
514	8	8	3	0.0003201	0.0178913386866383	0.0178913	-3.49471
515	2	8	3	0.0003201	0.0178913386866383	0.0178913	-3.49471
516	-1	8	3	0.00032	0.0178885438199983	0.0178885	-3.49485
517	4	8	2	0.0003198	0.0178829527763175	0.017883	-3.49512
518	-1	4	2	0.0003196	0.0178773599840692	0.0178774	-3.49539
519	3	6	2	0.0003196	0.0178773599840692	0.0178774	-3.49539
520	-1	6	2	0.0003195	0.0178745629317195	0.0178746	-3.49553
521	6	8	3	0.0003194	0.0178717654416121	0.0178718	-3.49567
522	6	8	3	0.0003191	0.0178633703426873	0.0178634	-3.49607
523	6	8	4	0.0003189	0.017857771417509	0.0178578	-3.49635
524	7	4	2	0.0003186	0.0178493697367722	0.0178494	-3.49675
525	7	6	2	0.0003186	0.0178493697367722	0.0178494	-3.49675
526	4	8	2	0.0003182	0.0178381613402279	0.0178382	-3.4973
527	-1	4	2	0.0003182	0.0178381613402279	0.0178382	-3.4973
528	4	4	2	0.0003181	0.0178353581405028	0.0178354	-3.49744
529	7	6	2	0.0003181	0.0178353581405028	0.0178354	-3.49744
530	4	8	2	0.0003179	0.0178297504188926	0.0178298	-3.49771
531	4	6	2	0.0003177	0.0178241409330155	0.0178241	-3.49798
532	4	8	2	0.0003171	0.0178073018731081	0.0178073	-3.4988
533	-1	8	2	0.0003171	0.0178073018731081	0.0178073	-3.4988
534	-1	6	2	0.000317	0.0178044938147649	0.0178045	-3.49894
535	5	8	3	0.000317	0.0178044938147649	0.0178045	-3.49894
536	8	8	3	0.0003169	0.0178016853134752	0.0178017	-3.49908
537	6	8	3	0.0003167	0.0177960669812181	0.0177961	-3.49935
538	6	8	4	0.0003166	0.0177932571498307	0.0177933	-3.49949
539	2	8	2	0.0003166	0.0177932571498307	0.0177933	-3.49949
540	2	8	2	0.0003165	0.0177904468746572	0.0177904	-3.49963
541	8	8	3	0.0003163	0.0177848249921105	0.0177848	-3.4999
542	-1	6	2	0.0003158	0.0177707625047436	0.0177708	-3.50059
543	1	4	1	0.0003158	0.0177707625047436	0.0177708	-3.50059
544	-1	8	2	0.0003157	0.0177679486716953	0.0177679	-3.50073
545	2	8	3	0.0003157	0.0177679486716953	0.0177679	-3.50073
546	5	6	2	0.0003157	0.0177679486716953	0.0177679	-3.50073
547	2	8	2	0.0003156	0.017765134392962	0.0177651	-3.50086
548	2	8	3	0.0003154	0.0177595044975923	0.0177595	-3.50114
549	3	8	3	0.000315	0.0177482393492988	0.0177482	-3.50169
550	5	6	2	0.0003146	0.0177369670462568	0.017737	-3.50224
551	7	6	2	0.0003136	0.0177087548969429	0.0177088	-3.50362
552	-1	8	2	0.0003136	0.0177087548969429	0.0177088	-3.50362
553	-1	8	2	0.0003127	0.017683325479106	0.0176833	-3.50487
554	-1	8	3	0.0003123	0.0176720117700278	0.017672	-3.50543
555	-1	8	3	0.0003116	0.017652195330893	0.0176522	-3.5064
556	2	8	2	0.0003115	0.0176493625947228	0.0176494	-3.50654
557	4	8	2	0.0003108	0.0176295206968312	0.0176295	-3.50752
558	8	8	3	0.0003096	0.0175954539583382	0.0175955	-3.5092
559	3	8	2	0.0003088	0.017572706109191	0.0175727	-3.51032
560	-1	8	3	0.0003084	0.0175613211348122	0.0175613	-3.51089
561	7	6	2	0.0003083	0.0175584737377712	0.0175585	-3.51103
562	-1	8	2	0.000307	0.0175214154679352	0.0175214	-3.51286
563	5	6	2	0.0003069	0.0175185615847877	0.0175186	-3.513
564	5	8	3	0.0003069	0.0175185615847877	0.0175186	-3.513
565	1	4	1	0.0003068	0.0175157072366491	0.0175157	-3.51314
566	-1	8	2	0.0003057	0.0174842786525496	0.0174843	-3.5147
567	-1	8	3	1.08e-05	0.003286335345031	0.00328634	-4.96658
568	-1	8	3	1.05e-05	0.00324037034920393	0.00324037	-4.97881
569	-1	8	2	1.04e-05	0.00322490309931942	0.0032249	-4.98297
570	-1	8	3	1.03e-05	0.00320936130717624	0.00320936	-4.98716
571	-1	8	3	1.02e-05	0.00319374388453426	0.00319374	-4.9914
572	-1	8	2	1e-05	0.00316227766016838	0.00316228	-5
573	-1	8	2	9.8e-06	0.00313049516849971	0.0031305	-5.00877
574	-1	8	2	9.8e-06	0.00313049516849971	0.0031305	-5.00877
575	-1	8	3	9.8e-06	0.00313049516849971	0.0031305	-5.00877
576	-1	8	2	9.8e-06	0.00313049516849971	0.0031305	-5.00877
577	-1	8	3	9.8e-06	0.00313049516849971	0.0031305	-5.00877
578	-1	6	2	9.8e-06	0.00313049516849971	0.0031305	-5.00877
579	-1	8	3	9.6e-06	0.00309838667696593	0.00309839	-5.01773
580	-1	8	2	9.6e-06	0.00309838667696593	0.00309839	-5.01773
581	-1	8	2	9.6e-06	0.00309838667696593	0.00309839	-5.01773
582	-1	8	3	9.5e-06	0.00308220700148449	0.00308221	-5.02228
583	-1	8	3	9.5e-06	0.00308220700148449	0.00308221	-5.02228
584	-1	8	2	9.4e-06	0.00306594194335118	0.00306594	-5.02687
585	-1	8	3	9.4e-06	0.00306594194335118	0.00306594	-5.02687
586	-1	8	3	9.4e-06	0.00306594194335118	0.00306594	-5.02687
587	-1	8	3	9.3e-06	0.00304959013639538	0.00304959	-5.03152
588	-1	8	3	9.2e-06	0.00303315017762062	0.00303315	-5.03621
589	-1	8	2	9.1e-06	0.00301662062579967	0.00301662	-5.04096
590	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
591	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
592	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
593	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
594	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
595	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
596	-1	8	3	9.1e-06	0.00301662062579967	0.00301662	-5.04096
597	-1	8	2	9e-06	0.003	0.003	-5.04576
598	-1	8	3	9e-06	0.003	0.003	-5.04576
599	-1	8	3	9e-06	0.003	0.003	-5.04576
600	-1	6	2	9e-06	0.003	0.003	-5.04576
601	-1	8	2	9e-06	0.003	0.003	-5.04576
602	-1	8	3	9e-06	0.003	0.003	-5.04576
603	-1	8	3	9e-06	0.003	0.003	-5.04576
604	-1	8	2	9e-06	0.003	0.003	-5.04576
605	-1	8	3	9e-06	0.003	0.003	-5.04576
606	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
607	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
608	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
609	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
610	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
611	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
612	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
613	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
614	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
615	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
616	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
617	-1	8	3	8.9e-06	0.00298328677803526	0.00298329	-5.05061
618	-1	8	2	8.9e-06	0.00298328677803526	0.00298329	-5.05061
619	-1	8	2	8.8e-06	0.00296647939483827	0.00296648	-5.05552
620	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
621	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
622	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
623	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
624	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
625	-1	8	2	8.8e-06	0.00296647939483827	0.00296648	-5.05552
626	-1	8	2	8.8e-06	0.00296647939483827	0.00296648	-5.05552
627	-1	6	2	8.8e-06	0.00296647939483827	0.00296648	-5.05552
628	-1	8	2	8.8e-06	0.00296647939483827	0.00296648	-5.05552
629	-1	8	3	8.8e-06	0.00296647939483827	0.00296648	-5.05552
630	-1	8	2	8.7e-06	0.00294957624075053	0.00294958	-5.06048
631	-1	8	3	8.7e-06	0.00294957624075053	0.00294958	-5.06048
632	-1	8	3	8.7e-06	0.00294957624075053	0.00294958	-5.06048
633	-1	8	2	8.7e-06	0.00294957624075053	0.00294958	-5.06048
634	-1	8	2	8.7e-06	0.00294957624075053	0.00294958	-5.06048
635	-1	8	2	8.7e-06	0.00294957624075053	0.00294958	-5.06048
636	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
637	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
638	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
639	-1	8	2	8.6e-06	0.00293257565972304	0.00293258	-5.0655
640	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
641	-1	6	2	8.6e-06	0.00293257565972304	0.00293258	-5.0655
642	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
643	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
644	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
645	-1	8	2	8.6e-06	0.00293257565972304	0.00293258	-5.0655
646	-1	8	3	8.6e-06	0.00293257565972304	0.00293258	-5.0655
647	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
648	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
649	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
650	-1	8	3	8.5e-06	0.00291547594742265	0.00291548	-5.07058
651	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
652	-1	8	3	8.5e-06	0.00291547594742265	0.00291548	-5.07058
653	-1	8	3	8.5e-06	0.00291547594742265	0.00291548	-5.07058
654	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
655	-1	8	3	8.5e-06	0.00291547594742265	0.00291548	-5.07058
656	-1	8	2	8.5e-06	0.00291547594742265	0.00291548	-5.07058
657	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
658	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
659	-1	6	2	8.4e-06	0.00289827534923789	0.00289828	-5.07572
660	-1	8	2	8.4e-06	0.00289827534923789	0.00289828	-5.07572
661	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
662	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
663	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
664	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
665	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
666	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
667	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
668	-1	8	3	8.4e-06	0.00289827534923789	0.00289828	-5.07572
669	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
670	-1	8	3	8.3e-06	0.00288097205817759	0.00288097	-5.08092
671	-1	8	3	8.3e-06	0.00288097205817759	0.00288097	-5.08092
672	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
673	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
674	-1	6	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
675	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
676	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
677	-1	6	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
678	-1	8	3	8.3e-06	0.00288097205817759	0.00288097	-5.08092
679	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
680	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
681	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
682	-1	8	2	8.3e-06	0.00288097205817759	0.00288097	-5.08092
683	-1	8	3	8.3e-06	0.00288097205817759	0.00288097	-5.08092
684	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
685	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
686	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
687	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
688	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
689	-1	8	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
690	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
691	-1	6	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
692	-1	8	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
693	-1	8	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
694	-1	8	3	8.2e-06	0.00286356421265527	0.00286356	-5.08619
695	-1	6	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
696	-1	8	2	8.2e-06	0.00286356421265527	0.00286356	-5.08619
697	-1	8	3	8.1e-06	0.00284604989415154	0.00284605	-5.09151
698	-1	8	2	8.1e-06	0.00284604989415154	0.00284605	-5.09151
699	-1	8	3	8.1e-06	0.00284604989415154	0.00284605	-5.09151
700	-1	8	3	8.1e-06	0.00284604989415154	0.00284605	-5.09151
701	-1	8	2	8.1e-06	0.00284604989415154	0.00284605	-5.09151
702	-1	8	2	8.1e-06	0.00284604989415154	0.00284605	-5.09151
703	-1	8	2	8.1e-06	0.00284604989415154	0.00284605	-5.09151
704	-1	6	2	8.1e-06	0.00284604989415154	0.00284605	-5.09151
705	-1	8	3	8.1e-06	0.00284604989415154	0.00284605	-5.09151
706	-1	8	3	8.1e-06	0.00284604989415154	0.00284605	-5.09151
